,Year,Sea Level Rise [m] (1961-1990),Sea Level Rate [m/yr] (1961-1990)
154,2033,0.155734536,0.004154056
155,2034,0.159888592,0.003789823
156,2035,0.163678415,0.003926981
157,2036,0.167605396,0.004306413
158,2037,0.171911808,0.004183404
159,2038,0.176095213,0.004200292
160,2039,0.180295505,0.004426317
161,2040,0.184721822,0.004376612
162,2041,0.189098434,0.004539923
163,2042,0.193638357,0.004633948
164,2043,0.198272305,0.004520799
165,2044,0.202793103,0.004636321
166,2045,0.207429425,0.004662019
167,2046,0.212091443,0.004713915
168,2047,0.216805358,0.004886081
169,2048,0.221691439,0.004770193
170,2049,0.226461632,0.004767043
171,2050,0.231228675,0.005030907
172,2051,0.236259582,0.004830487
173,2052,0.241090069,0.004981977
174,2053,0.246072047,0.00527455
175,2054,0.251346596,0.005277471
176,2055,0.256624067,0.005354334
177,2056,0.261978402,0.005328865
178,2057,0.267307267,0.005673425
179,2058,0.272980692,0.005455616
180,2059,0.278436309,0.005548637
181,2060,0.283984946,0.005525405
182,2061,0.28951035,0.005650786
183,2062,0.295161137,0.005743899
184,2063,0.300905035,0.005981882
185,2064,0.306886917,0.005944774
186,2065,0.312831691,0.006001463
187,2066,0.318833154,0.00602433
188,2067,0.324857485,0.006291023
189,2068,0.331148508,0.006226073
190,2069,0.337374581,0.006368754
191,2070,0.343743334,0.006170023
192,2071,0.349913357,0.006317998
193,2072,0.356231356,0.006548633
194,2073,0.362779989,0.006370351
195,2074,0.36915034,0.006657173
196,2075,0.375807513,0.006826052
197,2076,0.382633565,0.00670811
198,2077,0.389341676,0.006972339
199,2078,0.396314014,0.006969098
200,2079,0.403283112,0.007183484
201,2080,0.410466596,0.007259115
202,2081,0.417725711,0.007219862
203,2082,0.424945573,0.007261945
204,2083,0.432207518,0.007298505
205,2084,0.439506022,0.007522202
206,2085,0.447028224,0.007377833
207,2086,0.454406057,0.007519692
208,2087,0.461925749,0.007587335
209,2088,0.469513084,0.007646169
210,2089,0.477159252,0.007727368
211,2090,0.484886621,0.007675335
212,2091,0.492561955,0.008004513
213,2092,0.500566469,0.008065401
214,2093,0.50863187,0.008211916
215,2094,0.516843786,0.00818526
216,2095,0.525029046,0.008137015
217,2096,0.533166062,0.008263036
218,2097,0.541429098,0.008443281
219,2098,0.549872379,0.00843146
220,2099,0.558303839,0.008373995
221,2100,0.566677834,0.008446522
222,2101,0.575124355,0.008635621
223,2102,0.583759977,0.008562045
224,2103,0.592322022,0.008674281
225,2104,0.600996303,0.008897248
226,2105,0.609893551,0.008846265
227,2106,0.618739816,0.008969456
228,2107,0.627709271,0.008973609
229,2108,0.63668288,0.009015783
230,2109,0.645698664,0.009209128
231,2110,0.654907792,0.009295622
232,2111,0.664203413,0.009435107
233,2112,0.67363852,0.00937997
234,2113,0.683018491,0.009458157
235,2114,0.692476648,0.009498642
236,2115,0.70197529,0.009588788
237,2116,0.711564078,0.009873829
238,2117,0.721437907,0.009694589
239,2118,0.731132496,0.009860547
240,2119,0.740993043,0.009834713
241,2120,0.750827756,0.009952564
242,2121,0.76078032,0.010122995
243,2122,0.770903315,0.009969999
244,2123,0.780873315,0.009998161
245,2124,0.790871476,0.010335556
246,2125,0.801207032,0.010399912
247,2126,0.811606944,0.010299543
248,2127,0.821906487,0.010249153
249,2128,0.83215564,0.010392381
250,2129,0.842548022,0.010476958
251,2130,0.85302498,0.010613523
252,2131,0.863638502,0.01080924
253,2132,0.874447743,0.010805269
254,2133,0.885253012,0.01079678
255,2134,0.896049792,0.010814626
256,2135,0.906864418,0.010931016
257,2136,0.917795435,0.010925539
258,2137,0.928720974,0.011049004
259,2138,0.939769978,0.01102034
260,2139,0.950790318,0.011261975
261,2140,0.962052293,0.011216971
262,2141,0.973269264,0.011304697
263,2142,0.984573961,0.011331444
264,2143,0.995905405,0.01144651
265,2144,1.007351915,0.011537066
266,2145,1.018888981,0.011598913
267,2146,1.030487894,0.01158951
268,2147,1.042077404,0.011621643
269,2148,1.053699048,0.011788423
270,2149,1.065487471,0.011845614
271,2150,1.077333085,0.011878249
272,2151,1.089211334,0.011734929
273,2152,1.100946264,0.011804033
274,2153,1.112750297,0.011899062
275,2154,1.124649359,0.012121938
276,2155,1.136771297,0.012096834
277,2156,1.148868131,0.01221861
278,2157,1.161086741,0.012262473
279,2158,1.173349215,0.012528984
280,2159,1.185878198,0.012412913
281,2160,1.198291112,0.012663083
282,2161,1.210954195,0.012678282
283,2162,1.223632477,0.012512963
284,2163,1.23614544,0.012547697
285,2164,1.248693138,0.012669336
286,2165,1.261362474,0.012722191
287,2166,1.274084665,0.012674677
288,2167,1.286759342,0.01289066
289,2168,1.299650002,0.012823747
290,2169,1.312473749,0.012950772
291,2170,1.325424522,0.013073187
292,2171,1.338497709,0.013113581
293,2172,1.35161129,0.013149913
294,2173,1.364761204,0.013071635
295,2174,1.377832839,0.013230337
296,2175,1.391063176,0.013179034
297,2176,1.404242209,0.01332815
298,2177,1.417570359,0.013313544
299,2178,1.430883903,0.013371283
300,2179,1.444255186,0.013385432
301,2180,1.457640618,0.013504606
302,2181,1.471145224,0.013747109
303,2182,1.484892333,0.013788644
304,2183,1.498680977,0.013744279
305,2184,1.512425256,0.013906997
306,2185,1.526332252,0.013869478
307,2186,1.54020173,0.013991619
308,2187,1.554193349,0.013897092
309,2188,1.568090441,0.013914254
310,2189,1.582004695,0.013864868
311,2190,1.595869563,0.013987785
312,2191,1.609857348,0.014108694
313,2192,1.623966042,0.014032744
314,2193,1.637998785,0.014329698
315,2194,1.652328483,0.014180993
316,2195,1.666509476,0.014141329
317,2196,1.680650804,0.014232432
318,2197,1.694883237,0.014299208
319,2198,1.709182445,0.014487486
320,2199,1.723669931,0.014430159
321,2200,1.73810009,0.014446681
322,2201,1.752546771,0.014545773
323,2202,1.767092544,0.01446115
324,2203,1.781553694,0.014611499
325,2204,1.796165193,0.014653764
326,2205,1.810818958,0.014629345
327,2206,1.825448303,0.014603648
328,2207,1.840051951,0.014722229
329,2208,1.85477418,0.01469069
330,2209,1.86946487,0.014816756
331,2210,1.884281626,0.014836155
332,2211,1.899117781,0.014886545
333,2212,1.914004326,0.014785399
334,2213,1.928789725,0.014943553
335,2214,1.943733278,0.015135665
336,2215,1.958868943,0.015194088
337,2216,1.974063031,0.015161773
338,2217,1.989224804,0.015049034
339,2218,2.004273838,0.015196188
340,2219,2.019470026,0.015248951
341,2220,2.034718978,0.015284188
342,2221,2.050003165,0.015397337
343,2222,2.065400503,0.015366163
344,2223,2.080766666,0.015693881
345,2224,2.096460547,0.015561927
346,2225,2.112022473,0.015512951
347,2226,2.127535425,0.015575346
348,2227,2.14311077,0.015606794
349,2228,2.158717564,0.015641665
350,2229,2.174359229,0.015617566
351,2230,2.189976795,0.015576304
352,2231,2.205553099,0.015871205
353,2232,2.221424304,0.015667454
354,2233,2.237091757,0.015756823
355,2234,2.25284858,0.015905254
356,2235,2.268753835,0.015896719
357,2236,2.284650554,0.01605008
358,2237,2.300700634,0.015872665
359,2238,2.3165733,0.015966371
360,2239,2.33253967,0.015921503
361,2240,2.348461174,0.015840715
362,2241,2.364301889,0.016015118
363,2242,2.380317006,0.015824055
364,2243,2.396141062,0.015822914
365,2244,2.411963976,0.015914474
366,2245,2.42787845,0.01578713
367,2246,2.44366558,0.016023333
368,2247,2.459688913,0.016158118
369,2248,2.475847031,0.016100699
370,2249,2.49194773,0.016114209
371,2250,2.508061939,0.016232242
372,2251,2.524294181,0.016137076
373,2252,2.540431257,0.016079931
374,2253,2.556511188,0.016189566
375,2254,2.572700753,0.016058387
376,2255,2.588759141,0.016035703
377,2256,2.604794843,0.016121786
378,2257,2.620916629,0.016085773
379,2258,2.637002402,0.016137259
380,2259,2.653139661,0.01624201
381,2260,2.669381671,0.016226902
382,2261,2.685608573,0.016345483
383,2262,2.701954055,0.016319147
384,2263,2.718273202,0.016408881
385,2264,2.734682083,0.016085682
386,2265,2.750767765,0.016145611
387,2266,2.766913377,0.016375699
388,2267,2.783289075,0.016273412
389,2268,2.799562488,0.016393271
390,2269,2.815955759,0.01645489
391,2270,2.832410648,0.016476524
392,2271,2.848887173,0.016510711
393,2272,2.865397884,0.016428736
394,2273,2.88182662,0.016495968
395,2274,2.898322588,0.016610852
396,2275,2.91493344,0.016588533
397,2276,2.931521973,0.016490902
398,2277,2.948012875,0.01664084
399,2278,2.964653715,0.016584562
400,2279,2.981238277,0.016593645
401,2280,2.997831921,0.016331379
402,2281,3.0141633,0.016421616
403,2282,3.030584916,0.016627831
404,2283,3.047212748,0.016496288
405,2284,3.063709035,0.016622902
406,2285,3.080331937,0.016553022
407,2286,3.09688496,0.016615371
408,2287,3.113500331,0.016594101
409,2288,3.130094432,0.016734682
410,2289,3.146829114,0.016797122
411,2290,3.163626236,0.016777267
412,2291,3.180403503,0.016671192
413,2292,3.197074696,0.016680321
414,2293,3.213755017,0.016609711
415,2294,3.230364728,0.016713869
416,2295,3.247078597,0.016662383
417,2296,3.26374098,0.016616831
418,2297,3.280357812,0.016639927
419,2298,3.296997738,0.016744313
420,2299,3.313742051,0.016716973
421,2300,3.330459024,0.016770421
